State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Bangkok Metro,Bangkok,2014-01-01,48.97371322408986,93.88391758316115,27.61230012541781,43.31599819395771,37.591998109269035,4.961553086477194,0.7953234567815558,13.59206320411159,41.785662004127495,0.6505707029536306,1.7197996279617946,0.5127442805147405,134.0,Unhealthy for Sensitive Groups,11.336272979195472,96.06862071430626,0.6654098261867392,1.063810940618374,3.7955243179253744,1268.5700100028507
Bangkok Metro,Bangkok,2014-02-01,43.893885590630525,76.68654076616855,25.73961401176397,50.582448972501865,40.4506933816609,5.785947234561005,0.6586851534536325,7.2888578931101735,61.483930342693654,0.9801057938828427,2.626731738563963,1.0802446807313322,122.0,Unhealthy for Sensitive Groups,14.231042278118302,42.081119780868065,0.47480556825777964,5.628051942145504,3.8110458403959675,1314.0617111553938
Bangkok Metro,Bangkok,2014-03-01,50.18150830480554,78.85331175977923,28.180356753689225,59.26022670998058,46.343509235745,11.753687331392502,1.083712685100429,11.023678652219546,51.625408568458376,0.6257826837975878,0.9528994560793913,0.7961531501223835,137.0,Unhealthy for Sensitive Groups,19.308965396984018,61.155968388853786,0.17882542402510695,2.1927709035666463,5.7542564555413165,1281.3990445148022
Bangkok Metro,Bangkok,2014-04-01,57.184238851264205,91.38230822395565,34.554597365730544,83.08268951890868,62.34776204885879,13.425827930021415,1.9272149364837925,15.474329821487242,46.99566680501229,1.1446091026445433,3.156185264242676,0.8767866032115875,152.0,Unhealthy,15.53856460749454,64.87771969588624,0.5257047317476555,4.312090325629397,4.62172873961156,1228.407460278477
Bangkok Metro,Bangkok,2014-05-01,43.12677300221331,58.338664117977004,16.011566884398174,57.94606001932894,39.197542258975375,4.258175346111827,0.6596684329572755,14.151559413707043,73.01297382094067,0.6127633154413773,1.543587566451069,0.5170356092049032,120.0,Unhealthy for Sensitive Groups,12.263739074340936,44.01995526389138,0.592105436305943,1.1767768527344242,3.8093754268019184,1326.453565305964
Bangkok Metro,Bangkok,2014-06-01,43.126904344406555,57.01463166295161,23.066051396955473,39.79130321784188,33.3143979458426,9.185515355110326,0.5826788509314309,8.449889215287332,49.93672841997115,0.5987122270893448,1.7488833471862537,0.5958112503115454,120.0,Unhealthy for Sensitive Groups,16.35656258067484,60.477319904996136,0.3832160486631018,4.083693155472042,4.127672422404308,1377.6144301211384
Bangkok Metro,Bangkok,2014-07-01,57.63370252405913,102.98179714047838,38.98677792488564,56.53390316435261,50.62596097729627,7.046925829398668,0.6310562360281075,10.455161454206877,42.96910507539081,0.6867972773288947,1.1674099959017799,0.8120943498849866,152.0,Unhealthy,12.68267119935237,54.13614885801527,0.24283391682644295,2.3472435023983094,4.4232285568375005,1281.0173043594846
Bangkok Metro,Bangkok,2014-08-01,51.13947783322327,82.17603840630554,27.835918800587226,52.599006232544205,42.630510267559664,12.190905700147288,1.1495629258962663,16.320658059237434,57.53551423028712,0.8769375947501367,2.527652326777762,0.7812705553265558,140.0,Unhealthy for Sensitive Groups,13.282936968789013,53.97583082976976,0.5662020071721703,1.997676019791558,4.296012761477696,1385.247492606432
Bangkok Metro,Bangkok,2014-09-01,41.24420491252038,69.56043638211507,22.458894099435813,37.075987611024324,31.553487306543875,8.404580654533758,0.7613990361374545,10.481952828187543,26.5372085994344,1.12795528218261,3.1376512036770223,0.8572957967157776,115.0,Unhealthy for Sensitive Groups,22.737476883859962,65.75323340541276,0.34996044949293614,1.3153443332568933,6.071788928663167,1279.0814384741439
Bangkok Metro,Bangkok,2014-10-01,49.34048034868772,83.40331613397099,29.33665838048006,50.826413769196684,42.486428239328674,7.977572885777395,0.9257879415005296,17.61573453885952,41.70977345387267,1.0903387692451236,2.0056771032497585,0.8068804299071539,135.0,Unhealthy for Sensitive Groups,16.136418805758804,89.28319793422608,0.3151693693287046,5.464112856848895,5.512063954584164,1256.622006361216
